text,label,clean_text,text_length
LF: The product�s Look and Feel shall be able to incorporate aspects of the customer�s organization such as logo  branding  and identity,non-functional,lf product look feel shall able incorporate aspect customer organization logo branding identity,13
LF:The product shall have a conservative and professional appearance.,non-functional,lfthe product shall conservative professional appearance,6
US:The product shall make the users want to use it. 80% of the users surveyed report they are regularly using the product after the first 2 weeks post-launch.,non-functional,usthe product shall make user want use user surveyed report regularly using product first week postlaunch,16
US:The product shall be easy to use. 90% of users will be able to successfully reserve a conference room within 5 minutes of product use.,non-functional,usthe product shall easy use user able successfully reserve conference room within minute product use,15
US:The product shall give users feedback when necessary. 80% of the users surveyed report that the product accurately confirms their actions.,non-functional,usthe product shall give user feedback necessary user surveyed report product accurately confirms action,14
US:The product shall allow the user to select a chosen language from one of the target market countries.,non-functional,usthe product shall allow user select chosen language one target market country,12
US:The product shall allow for customization of start page and views preferences.,non-functional,usthe product shall allow customization start page view preference,9
US: An employee will be able to successfully use the product within a few minutes.  After informally navigating the product for less than 15 minutes  users shall be able to successfully setup meetings and reserve conference rooms.,non-functional,u employee able successfully use product within minute informally navigating product less minute user shall able successfully setup meeting reserve conference room,22
US:The product shall use a standard navigation menu familiar to most web users.,non-functional,usthe product shall use standard navigation menu familiar web user,10
US:The product shall allow for intuitive searching of available conference rooms.,non-functional,usthe product shall allow intuitive searching available conference room,9
US:The product shall conform to the Americans with Disabilities Act.,non-functional,usthe product shall conform american disability act,7
PE:The response shall be fast enough to avoid interrupting the user�s flow of thought.  90% of tasks shall complete within 5 seconds.  98% of tasks shall complete within 8 seconds.,non-functional,pethe response shall fast enough avoid interrupting user flow thought task shall complete within second task shall complete within second,20
A: Aside from server failure  the software product shall achieve 99.99% up time.,non-functional,aside server failure software product shall achieve time,8
FT:The product shall create an exception log of problems encountered within the product for transmission to our company for analysis and resolution.,non-functional,ftthe product shall create exception log problem encountered within product transmission company analysis resolution,14
SC: The product shall be capable of handling up to 1 000 concurrent requests.  This number will increase to 2 000 by Release 2.  The concurrency capacity must be able to handle peak scheduling times such as early morning and late afternoon hours.,non-functional,sc product shall capable handling concurrent request number increase release concurrency capacity must able handle peak scheduling time early morning late afternoon hour,23
SC: The product shall be able to process 10 000 transactions per hour within two years of its launch.  This number will increase to 20 000 by Release 2.,non-functional,sc product shall able process transaction per hour within two year launch number increase release,15
SC:The product shall be expected to operate for at least 5 years for each customer installation.,non-functional,scthe product shall expected operate least year customer installation,9
O:The product shall be used in office environments.,non-functional,othe product shall used office environment,6
O:The product must be able to interface with any HTML browser.  The product shall transmit data between the user and the product without problems. The product shall display HTML properly in 80% of all HTML browsers tested (minimum is to test 8 browsers).,non-functional,othe product must able interface html browser product shall transmit data user product without problem product shall display html properly html browser tested minimum test browser,26
O:The product must be able to interface with various database management systems. The product shall communicate successfully with the database management system on 100% of all transactions.,non-functional,othe product must able interface various database management system product shall communicate successfully database management system transaction,17
O:The product must be able to interface with various email servers. The product shall be able to send email.,non-functional,othe product must able interface various email server product shall able send email,13
O:The product shall be available for distribution via the Internet as a binary or ZIP file.,non-functional,othe product shall available distribution via internet binary zip file,10
O:The product shall be available for distribution as a packaged CD.,non-functional,othe product shall available distribution packaged cd,7
O: The product will be available for licensing as a one-server  two-five servers  or five-or-more servers license.,non-functional,product available licensing oneserver twofive server fiveormore server license,9
US:A new user must be able to be added to the system within 10 minutes.  90% of new users are able to log into the system within 10 minutes.,non-functional,usa new user must able added system within minute new user able log system within minute,16
MN:The product must be designed using Design Patterns and coding best practices.  90% of maintenance software developers are able to integrate new functionality into the product with 2 working days.,non-functional,mnthe product must designed using design pattern coding best practice maintenance software developer able integrate new functionality product working day,20
MN:The product must be highly configurable for use with various database management systems for the end users.  80% of end users are able to integrate new database management systems with the product without changing the product�s software code.,non-functional,mnthe product must highly configurable use various database management system end user end user able integrate new database management system product without changing product software code,26
MN:Maintenance releases will be offered to customers once a year.  The releases shall take no longer than 5 minutes for 80% of the customer base to install.,non-functional,mnmaintenance release offered customer year release shall take longer minute customer base install,13
US:Every registered user will have access to the product�s support site via the Internet.  70% of registered users shall find a solution to their problem within 5 minutes of using the support site.,non-functional,usevery registered user access product support site via internet registered user shall find solution problem within minute using support site,20
MN:The customer shall be able to easily integrate new building maps with the product throughout the product�s lifecycle.  Integration of new maps with the product shall be possible with little to no support from product support staff.,non-functional,mnthe customer shall able easily integrate new building map product throughout product lifecycle integration new map product shall possible little support product support staff,24
US: The product shall be translated into foreign languages other than the target market countries� languages in future releases.  For each emerging target market  it shall take no more than 5 days to configure the product for that market�s language.,non-functional,u product shall translated foreign language target market country language future release emerging target market shall take day configure product market language,22
O: The product is expected to integrate with multiple database management systems.  The product will operate with Oracle  SQL Server  DB2  MySQL  HSQL  and MS Access.,non-functional,product expected integrate multiple database management system product operate oracle sql server db mysql hsql m access,17
O:The product shall be able to be installed in any operating environment within 2 days.,non-functional,othe product shall able installed operating environment within day,9
SE:The product shall ensure that only company employees or external users with company-approved user IDs may have product access.  100% of all logons shall be by either company employees or external users with company-approved user IDs.,non-functional,sethe product shall ensure company employee external user companyapproved user id may product access logons shall either company employee external user companyapproved user id,24
SE:Only managers are able to perform search queries for reservations by user.  100% of all search queries for reservations by user shall be from logons of only management logons.,non-functional,seonly manager able perform search query reservation user search query reservation user shall logons management logons,16
SE:The product shall ensure that the database�s data corresponds to the data entered by the user.  Each conference room reservation in the system will contain the same information as was entered by the user.,non-functional,sethe product shall ensure database data corresponds data entered user conference room reservation system contain information entered user,18
SE:The product shall prevent the input of malicious data.  The product and/or adjacent hardware/software systems� data shall remain 100% uncorrupted each time malicious data is input into the product.,non-functional,sethe product shall prevent input malicious data product andor adjacent hardwaresoftware system data shall remain uncorrupted time malicious data input product,21
FT:The product and/or dependent databases/filesystems shall remain operational as a result of the input of malicious data.  The product and/or dependent databases/filesystems shall not crash 100% of the time that malicious data is input into the product.,non-functional,ftthe product andor dependent databasesfilesystems shall remain operational result input malicious data product andor dependent databasesfilesystems shall crash time malicious data input product,23
SE:The product shall have the ability to receive automatic software updates as new threats emerge.  100% of customers will be able to receive automatic software updates transmitted to the installed product.,non-functional,sethe product shall ability receive automatic software update new threat emerge customer able receive automatic software update transmitted installed product,20
SC:The language of the product shall accommodate all of the target market countries. 90% of survey respondents from each target market country will find that the language of the product is acceptable.,non-functional,scthe language product shall accommodate target market country survey respondent target market country find language product acceptable,17
US:The product shall be able to display calendar dates and times according to the user�s locale.  90% of survey respondents from each target market country will find that the date and time formatting of the product is correct.,non-functional,usthe product shall able display calendar date time according user locale survey respondent target market country find date time formatting product correct,22
O:The product must be developed with the J2SE/J2EE programming language libraries,non-functional,othe product must developed jsejee programming language library,8
F:The product shall record meeting entries.,non-functional,fthe product shall record meeting entry,6
F:The product will notify employees of meeting invitations.,non-functional,fthe product notify employee meeting invitation,6
F:The product shall have the ability to send meeting reminders to employees.,non-functional,fthe product shall ability send meeting reminder employee,8
F:The product shall assign the organizers contact information to each meeting they create.,non-functional,fthe product shall assign organizer contact information meeting create,9
F:The product will record meeting acknowledgements.,non-functional,fthe product record meeting acknowledgement,5
F:The product shall store new conference rooms.,non-functional,fthe product shall store new conference room,7
F:The product shall update existing conference rooms.,non-functional,fthe product shall update existing conference room,7
F:The product will be able to delete conference rooms.,non-functional,fthe product able delete conference room,6
F:The product shall be able to store new room equipment.,non-functional,fthe product shall able store new room equipment,8
F:The product will update existing room equipment.,non-functional,fthe product update existing room equipment,6
F:The product shall be able to delete room equipment.,non-functional,fthe product shall able delete room equipment,7
F:The product shall allow an organizer to invite other employees to meetings.,non-functional,fthe product shall allow organizer invite employee meeting,8
F: Each time a conference room is reserved  the conference room schedule shall be updated to reflect the time and date of the reservation.,non-functional,f time conference room reserved conference room schedule shall updated reflect time date reservation,14
F:The product shall record the transportation status of equipment reserved.,non-functional,fthe product shall record transportation status equipment reserved,8
F:The product shall display a map of the company building showing conference room locations.,non-functional,fthe product shall display map company building showing conference room location,11
F:The product shall record updated meeting agendas.,non-functional,fthe product shall record updated meeting agenda,7
F:The product shall send a meeting confirmation to the meeting organizer.,non-functional,fthe product shall send meeting confirmation meeting organizer,8
F:The product shall display room equipment according to search parameters.,non-functional,fthe product shall display room equipment according search parameter,9
F:The product shall display conference rooms according to search parameters.,non-functional,fthe product shall display conference room according search parameter,9
F:The product shall record different meeting types.,non-functional,fthe product shall record different meeting type,7
F:The product shall record all the equipment that has been reserved.,non-functional,fthe product shall record equipment reserved,6
F:The product shall notify building personnel of equipment transport requests.,non-functional,fthe product shall notify building personnel equipment transport request,9
F:The product will allow priviledged users to view meeting schedules in multiple reporting views.,non-functional,fthe product allow priviledged user view meeting schedule multiple reporting view,11
F:The product shall be able to send meeting notifications via different kinds of end-user specified methods.,non-functional,fthe product shall able send meeting notification via different kind enduser specified method,13
F:The product shall have a customizable Look and Feel.,non-functional,fthe product shall customizable look feel,6
F:The product shall have an intuitive user interface.,non-functional,fthe product shall intuitive user interface,6
F:The product will display an available status for unreserved conference rooms.,non-functional,fthe product display available status unreserved conference room,8
PE:Recreation of Inventory Quantity Adjustment for the period of previous 30 days shall take no more than 30min.,non-functional,perecreation inventory quantity adjustment period previous day shall take min,10
PE:The System shall allow for a minimum of  6 users to work at the same time.,non-functional,pethe system shall allow minimum user work time,8
O:The System shall utilize currently owned computer equipment.,non-functional,othe system shall utilize currently owned computer equipment,8
O:The System shall be able to automatically backup business data and restore them on demand.,non-functional,othe system shall able automatically backup business data restore demand,10
SE:The System shall maintain consistent security.  Any changes in user passwords and/or permissions should take affect in all parts of the System.,non-functional,sethe system shall maintain consistent security change user password andor permission take affect part system,15
SE:The System shall granularly control access rights to all major subsystems.  It should be possible to assign access rights to all subsystems independently.,non-functional,sethe system shall granularly control access right major subsystem possible assign access right subsystem independently,15
L:The System shall meet all applicable accounting standards.  The final version of the System must successfully pass independent audit performed by a certified auditor.,non-functional,lthe system shall meet applicable accounting standard final version system must successfully pas independent audit performed certified auditor,18
O:The System shall not require additional third party licenses resulting in royalty fees.,non-functional,othe system shall require additional third party license resulting royalty fee,11
F:The System shall allow generation of Inventory Quantity Adjustment documents on demand.,non-functional,fthe system shall allow generation inventory quantity adjustment document demand,10
F:The System shall allow on demand generation of all Inventory Quantity Adjustment documents since certain point of time.,non-functional,fthe system shall allow demand generation inventory quantity adjustment document since certain point time,14
F:The IQA subsystem shall take into account current inventory status and adjust inventory of substitutionary ingredients accordingly.,non-functional,fthe iqa subsystem shall take account current inventory status adjust inventory substitutionary ingredient accordingly,14
F: The System shall allow entering  storing and modifying product formulas.,non-functional,f system shall allow entering storing modifying product formula,9
F: Product formulas shall allow use of semi-products  which have own formulas.,non-functional,f product formula shall allow use semiproducts formula,8
F:Product formula ingredients shall allow defining substitutionary ingredients.,non-functional,fproduct formula ingredient shall allow defining substitutionary ingredient,8
F:Product formula substitutionary ingredients shall be entered automatically by the PFE subsystem.,non-functional,fproduct formula substitutionary ingredient shall entered automatically pfe subsystem,9
F:Formula substitutionary ingredients shall be kept in persisted order,non-functional,fformula substitutionary ingredient shall kept persisted order,7
F: Product shall allow entering  storing and modifying product menus used by POS terminals.,non-functional,f product shall allow entering storing modifying product menu used po terminal,12
F:PME Subsystem shall allow building product menus based on the list of products kept in the accounting system.,non-functional,fpme subsystem shall allow building product menu based list product kept accounting system,13
F:PME Subsystem shall allow keeping submenus within menus and products within submenus in a managed and persisted order.,non-functional,fpme subsystem shall allow keeping submenu within menu product within submenu managed persisted order,14
F:PME Subsystem shall allow for a product to exist in more than one submenu,non-functional,fpme subsystem shall allow product exist one submenu,8
F:The RMS System shall have Windows XP look and feel and use GUI futures making its use intuitive.,non-functional,fthe rms system shall window xp look feel use gui future making use intuitive,14
F:The System shall generate Inventory Quantity Adjustment document based on product daily sales data and product formulas.,non-functional,fthe system shall generate inventory quantity adjustment document based product daily sale data product formula,15
F:The System shall generate Inventory Quantity Adjustment document automatically when daily Product Sales data is available.,non-functional,fthe system shall generate inventory quantity adjustment document automatically daily product sale data available,14
PE:Administrator shall be able to activate a pre-paid card via the Administration section in under 5 seconds.,non-functional,peadministrator shall able activate prepaid card via administration section second,10
PE: Customer shall be able to check the status of their prepaid card  by entering in the PIN number  in under 5 seconds.,non-functional,pe customer shall able check status prepaid card entering pin number second,12
PE:System shall let customers register on the website as a �pay as you go� user in under 5 minutes.,non-functional,pesystem shall let customer register website pay go user minute,10
PE:System shall let customers register on the website as a �unlimited movie subscriber� user in under 10 minutes.,non-functional,pesystem shall let customer register website unlimited movie subscriber user minute,11
PE:System shall let existing customers log into the website with their email address and password in under 5 seconds.,non-functional,pesystem shall let existing customer log website email address password second,11
PE: System shall let customers cancel their account  process shall take no longer than 2 minutes.  Database will mark the account as inactive  and user will not be able to log into the website.,non-functional,pe system shall let customer cancel account process shall take longer minute database mark account inactive user able log website,20
PE:System shall let administrator de-activate a customer account in under 1 minute. Customer will no longer be able to access the website.,non-functional,pesystem shall let administrator deactivate customer account minute customer longer able access website,13
PE:System shall let administrator add/remove movies on the website in under 5 minutes.  Entered movie information will be stored in the database and will now be available on the website.,non-functional,pesystem shall let administrator addremove movie website minute entered movie information stored database available website,15
PE:System shall let the administrator add/remove categories on the website in under 5 minutes.,non-functional,pesystem shall let administrator addremove category website minute,8
PE:System shall let Izogn Manager access sales and usage statistics in under 2 minutes.,non-functional,pesystem shall let izogn manager access sale usage statistic minute,10
PE:System shall let administrators generate unique pre-paid pins in under 2 minutes and generate an Excel file with the generated PINs.,non-functional,pesystem shall let administrator generate unique prepaid pin minute generate excel file generated pin,14
LF:The website shall be attractive to all audiences.  The website shall appear to be fun and the colors should be bright and vibrant.,non-functional,lfthe website shall attractive audience website shall appear fun color bright vibrant,12
LF: The website should have an African feel  but should not alienate non-Africans.  The website should use animation on pages which are describing the services  to grab the users attention and encourage them to sign up.,non-functional,lf website african feel alienate nonafricans website use animation page describing service grab user attention encourage sign,17
LF: The website design should be modern  clean  and concise.,non-functional,lf website design modern clean concise,6
US:The product should be able to be used by 90% of novice users on the Internet.,non-functional,usthe product able used novice user internet,7
US: Users should only have to navigate through a maximum of 4 pages  to create an account with the website.,non-functional,u user navigate maximum page create account website,8
US:Users should be able to access their streaming movies in under 2 clicks after logging into the website.,non-functional,ususers able access streaming movie click logging website,8
US:An anonymous survey will show that 70% of customers are comfortable purchasing streaming movies after 2 weeks using the website.,non-functional,usan anonymous survey show customer comfortable purchasing streaming movie week using website,12
US:An anonymous survey will show that 95% of customers are comfortable using and purchasing pre-paid cards after a month of using the system.,non-functional,usan anonymous survey show customer comfortable using purchasing prepaid card month using system,13
US:The product shall retain the customer�s buying preferences and information.,non-functional,usthe product shall retain customer buying preference information,8
US:The product shall be easy for customers with novice skills on the  Internet to purchase and watch streaming movies.  Customers should be able to purchase and watch a pre-determined movie in under 3 minutes.,non-functional,usthe product shall easy customer novice skill internet purchase watch streaming movie customer able purchase watch predetermined movie minute,19
US:The product shall use symbols and words that are naturally understandable by users familiar with websites,non-functional,usthe product shall use symbol word naturally understandable user familiar website,11
US:The website will use standard Internet conventions when interacting with the user.,non-functional,usthe website use standard internet convention interacting user,8
PE: Any interface between a user and the automated system shall have a maximum response time of 5 seconds  unless noted by an exception below.,non-functional,pe interface user automated system shall maximum response time second unless noted exception,13
PE: When purchasing a streaming movie or pre-paid card via credit card  the processing time should have a maximum response time of 15 seconds.,non-functional,pe purchasing streaming movie prepaid card via credit card processing time maximum response time second,15
PE: When streaming a movie  the buffering time should take no longer than 10 seconds (plus any latency on the user�s connection.),non-functional,pe streaming movie buffering time take longer second plus latency user connection,12
PE: While streaming a movie  buffering should only occur if there is latency in the user�s connection.,non-functional,pe streaming movie buffering occur latency user connection,8
SE: All credit card information will be secured on the server  and only accessible by authorized Izogn administrators.  Information will be encrypted in the database.,non-functional,se credit card information secured server accessible authorized izogn administrator information encrypted database,13
A: The website shall be available for use 24 hours per day  365 days per year.,non-functional,website shall available use hour per day day per year,10
A:The website shall achieve 99.5% up time.,non-functional,athe website shall achieve time,5
A: All movies shall be streamed on demand  at any time of the day.,non-functional,movie shall streamed demand time day,6
FT:The website shall continue to operate if the streaming server goes down.,non-functional,ftthe website shall continue operate streaming server go,8
FT:The website shall continue to operate if the payment gateway goes down.,non-functional,ftthe website shall continue operate payment gateway go,8
SC:The streaming server will support 50 simultaneous streaming connections.,non-functional,scthe streaming server support simultaneous streaming connection,7
SC:The streaming server will support a maximum of 700 movies; new servers can be added to support more movies.,non-functional,scthe streaming server support maximum movie new server added support movie,11
SC: The server will support a maximum of 1 000 simultaneous users.,non-functional,sc server support maximum simultaneous user,6
SC: The website shall be capable of supporting 100 000 customers.,non-functional,sc website shall capable supporting customer,6
MN:The product shall be expected to operate within the maximum maintenance budget for a minimum of 2 years.,non-functional,mnthe product shall expected operate within maximum maintenance budget minimum year,11
O:All aspects of the website shall be accessed by a web browser over the Internet.,non-functional,oall aspect website shall accessed web browser internet,8
O:The same hardware supporting the current website will be used to support the new system.,non-functional,othe hardware supporting current website used support new system,9
O: We must be able to interface with the following browsers: IE 5.X  6.0  Netscape 6.x  7.x  8.x and Firefox 1.0.,non-functional,must able interface following browser ie x netscape x x x firefox,12
O:Website must interface with the CyberSource API to process credit card transactions.,non-functional,owebsite must interface cybersource api process credit card transaction,9
O:Website must be fully operational with MSN TV2.,non-functional,owebsite must fully operational msn tv,6
O:Movies shall be encoded and streamed via Windows Media Player 9.0.,non-functional,omovies shall encoded streamed via window medium player,8
O:Movies shall be encoded for 56k and 256k streams.,non-functional,omovies shall encoded k k stream,6
MN:Promotional updates to the website should take a day to update.,non-functional,mnpromotional update website take day update,6
PE:Izogn Administrator must be able to update the category listings on the website within 2 minutes.,non-functional,peizogn administrator must able update category listing website within minute,10
PE:Izogn Administrator must be able to add new products to the website within 2 minutes.,non-functional,peizogn administrator must able add new product website within minute,10
A:The system will provide a 24 hour 800 toll free number for support to its customers.,non-functional,athe system provide hour toll free number support customer,9
US:The website will provide a help section with answers and solutions to common problems.,non-functional,usthe website provide help section answer solution common problem,9
A: Velkat staff will be available for phone support between 7am-7pm  M-F to provide technical support to the Izogn administrators.,non-functional,velkat staff available phone support ampm mf provide technical support izogn administrator,12
O:The product shall be able to be installed in the specified environment within 1 working day.,non-functional,othe product shall able installed specified environment within working day,10
SE:Only registered customers can purchase streaming movies.,non-functional,seonly registered customer purchase streaming movie,6
SE: A customer can only stream a movie if they purchased it  and are within the 2 day viewing period.,non-functional,se customer stream movie purchased within day viewing period,9
SE:Only authorized personnel can access customer records in the database.,non-functional,seonly authorized personnel access customer record database,7
SE:Only administrators can activate a pre-paid card.,non-functional,seonly administrator activate prepaid card,5
SE:Only authorized personnel can access sales information.,non-functional,seonly authorized personnel access sale information,6
SE:The website shall prevent its data from being corrupted when incorrect data is entered in.,non-functional,sethe website shall prevent data corrupted incorrect data entered,9
SE: The website shall protect itself from intentional abuse  and notify the administrator at all occurrences.,non-functional,se website shall protect intentional abuse notify administrator occurrence,9
SE:Data integrity scripts will be run on a weekly basis to verify the integrity of the database.,non-functional,sedata integrity script run weekly basis verify integrity database,9
SE: The website shall make its user aware of its information practices before collection data from them via a Privacy Policy  accessible on all pages of the website.,non-functional,se website shall make user aware information practice collection data via privacy policy accessible page website,16
SE:The system shall notify customers of changes to its information policy.,non-functional,sethe system shall notify customer change information policy,8
SE:The system shall reveal private information only in compliance with the organization�s information policy.,non-functional,sethe system shall reveal private information compliance organization information policy,10
SE: All customer information will be stored on a secure database  accessible only to authorized personnel.,non-functional,se customer information stored secure database accessible authorized personnel,9
SE:All credit card information will be encrypted in the database.,non-functional,seall credit card information encrypted database,6
SE:The streaming server will have anti-virus software to prevent infection of malicious viruses.,non-functional,sethe streaming server antivirus software prevent infection malicious virus,9
LF:The website should cater to all tribes in Nigeria.,non-functional,lfthe website cater tribe nigeria,5
LF:The website shall not be offensive to religious or ethnic groups.,non-functional,lfthe website shall offensive religious ethnic group,7
LF: The website should appeal to all Africans  not only Nigerians.,non-functional,lf website appeal african nigerian,5
O:The website should use Flash to provide animation on the home page.,non-functional,othe website use flash provide animation home page,8
L:IzognMovies shall meet the licensing requirements set forth by the appropriate organizations in order to stream African movies.,non-functional,lizognmovies shall meet licensing requirement set forth appropriate organization order stream african movie,13
L:The website will comply with W3C standards.,non-functional,lthe website comply wc standard,5
L:The PHP code will comply with PEAR standards.,non-functional,lthe php code comply pear standard,6
F: The website will allow customers to search for movies by title  actor  or director.,non-functional,f website allow customer search movie title actor director,9
F: viewing a movie details  the website will display the movies description  actor  and director entered in by the administrator.,non-functional,f viewing movie detail website display movie description actor director entered administrator,12
F: Website shall request  and authorize credit card payment before allowing a user to stream a movie.,non-functional,f website shall request authorize credit card payment allowing user stream movie,12
F: shall be able to stream purchased movie via Windows Media Player  for up to 2 days aftere purchase date.,non-functional,f shall able stream purchased movie via window medium player day aftere purchase date,14
F:Website shall allow customers to browse movies by categories entered in by izogn administrator.,non-functional,fwebsite shall allow customer browse movie category entered izogn administrator,10
F:Website shall allow customers to view reviews of selected movies by other customers.,non-functional,fwebsite shall allow customer view review selected movie customer,9
F:Website shall allow customers to add their own movie review for a selected movie.,non-functional,fwebsite shall allow customer add movie review selected movie,9
F:Website shall allow the Izogn administrator to approve a review posted by a customer.,non-functional,fwebsite shall allow izogn administrator approve review posted customer,9
F:System will allow customers to pay for a streaming movie with a pre-paid card.,non-functional,fsystem allow customer pay streaming movie prepaid card,8
F: Website shall allow customers to purchase pre-paid cards of $5  $10  or $20 value either by credit card or mail-in payment option.,non-functional,f website shall allow customer purchase prepaid card value either credit card mailin payment option,15
F: System shall automatically update the main page of the website every Friday  and show the 4 latest movies that have been added to the website.,non-functional,f system shall automatically update main page website every friday show latest movie added website,15
F:System shall allow users to update their billing and contact information via the �My Account� section of the website.,non-functional,fsystem shall allow user update billing contact information via account section website,12
F: Pre-paid cards shall be distributed via email  or via a printed paper card.,non-functional,f prepaid card shall distributed via email via printed paper card,11
F:Only registered customers can purchase streaming movies.,non-functional,fonly registered customer purchase streaming movie,6
F: Movies can only be streamed if the customer has purchased a movie  and is within the 2-day time period to stream the movie.,non-functional,f movie streamed customer purchased movie within day time period stream movie,12
F:Website must be able to support free trial periods with various parameters set by the Izogn Manager.,non-functional,fwebsite must able support free trial period various parameter set izogn manager,12
F: All streaming movie sales will be logged in the database  and accessible by the administrator.,non-functional,f streaming movie sale logged database accessible administrator,8
F: All registered customer information shall be stored and maintained in the database  even after the customer cancels their account.,non-functional,f registered customer information shall stored maintained database even customer cancel account,12
F: Daily usage statistics should be logged  and accessible by the administrator.,non-functional,f daily usage statistic logged accessible administrator,7
F:The owner shall have free access to all of the streaming movies.,non-functional,fthe owner shall free access streaming movie,7
PE:Total lead cycle time must be completed in 5 minutes for 90% of lead volume between the business hours of 8AM CST to 8PM CST; then 3 minutes for 99% of lead volume during off business hours.,non-functional,petotal lead cycle time must completed minute lead volume business hour cst pm cst minute lead volume business hour,19
PE:No lead evaluation will complete in a time period longer than 25 seconds for 97% of all leads processed.,non-functional,peno lead evaluation complete time period longer second lead processed,10
PE:For leads that process longer than 25 seconds the system will record the event and duration,non-functional,pefor lead process longer second system record event duration,9
PE:The process must fit within the processing time conditions set forth by the Auto Rep Assignment process in which a lead is assigned within 3 minutes of the total life cycle.,non-functional,pethe process must fit within processing time condition set forth auto rep assignment process lead assigned within minute total life cycle,21
O:The lead washing process will operate within the established physical web service structure.,non-functional,othe lead washing process operate within established physical web service structure,11
O: The washing process must use a non binding  neutral data format  such as xml  when receiving and processing lead data.,non-functional,washing process must use non binding neutral data format xml receiving processing lead data,14
A:Defect reports will be available to technical units on a 24x7 basis.,non-functional,adefect report available technical unit x basis,7
MN:Washing parameters will be updated during scheduled maintenance hours.,non-functional,mnwashing parameter updated scheduled maintenance hour,6
F:The vendor will verify the invalid lead.,non-functional,fthe vendor verify invalid lead,5
F:Vendor will submit a credit validation record to be applied to the enterprise billing system.,non-functional,fvendor submit credit validation record applied enterprise billing system,9
F:If a lead is scored to the high range the system will supply the lead data and score to the enterprise system.,non-functional,fif lead scored high range system supply lead data score enterprise system,12
F:The leads washing functionality will validate all leads received by the web service for valid data,non-functional,fthe lead washing functionality validate lead received web service valid data,11
F:The leads washing functionality will insert all leads captured by the web service.,non-functional,fthe lead washing functionality insert lead captured web service,9
F:If the leads score falls within the high average score then it will be process by the ARA functionality.,non-functional,fif lead score fall within high average score process ara functionality,11
F:If the leads score falls within the medium average then it will be set for manual verification by an Enrollment Coordinator through the eleads system.,non-functional,fif lead score fall within medium average set manual verification enrollment coordinator eleads system,14
F:If the leads score falls within the low average then it will be returned to the supplying vendor,non-functional,fif lead score fall within low average returned supplying vendor,10
F:The leads washing functionality will compile both contact and academic scoring information for a total score.,non-functional,fthe lead washing functionality compile contact academic scoring information total score,11
F:The leads washing functionality will use the parameters supplied by corporate and schools to score part of the lead.,non-functional,fthe lead washing functionality use parameter supplied corporate school score part lead,12
F:The leads washing functionality will return the lead data supplied to the vendor along with the reason of rejection.,non-functional,fthe lead washing functionality return lead data supplied vendor along reason rejection,12
F:The leads washing functionality will have an interface in which lead data parameters can be maintained.,non-functional,fthe lead washing functionality interface lead data parameter maintained,9
F:The leads washing functionality will verify the users authentication and rights to make parameter updates.,non-functional,fthe lead washing functionality verify user authentication right make parameter update,11
F:The leads washing functionality will store any potential lead duplicates returned by the enterprise system.,non-functional,fthe lead washing functionality store potential lead duplicate returned enterprise system,11
F:Prior to submitting the lead to the enterprise system the leads washing functionality will assign the lead to an admissions rep.,non-functional,fprior submitting lead enterprise system lead washing functionality assign lead admission rep,12
F:The leads washing functionality shall receive a period list of available reps from the enterprise system.,non-functional,fthe lead washing functionality shall receive period list available rep enterprise system,12
LF:The product shall simulate the look of ships at sea.,non-functional,lfthe product shall simulate look ship sea,7
LF:The product shall display the grids within a circle as a view from a periscope.,non-functional,lfthe product shall display grid within circle view periscope,9
LF:The product shall display each type of ship in a grid using an image of the specific type of ship.,non-functional,lfthe product shall display type ship grid using image specific type ship,12
LF: When the offensive player takes a shot  the product shall simulate the sound of a ship at sea.,non-functional,lf offensive player take shot product shall simulate sound ship sea,11
LF: When a shot is marked as a miss  the product shall simulate the sound of a shot missing its target.,non-functional,lf shot marked miss product shall simulate sound shot missing target,11
LF: When a shot is marked as a hit  the product shall simulate the sound of a shot hitting its target.,non-functional,lf shot marked hit product shall simulate sound shot hitting target,11
LF: When a ship is sunk  the product shall simulate the sound of a sinking ship.,non-functional,lf ship sunk product shall simulate sound sinking ship,9
A: The product shall be available 24 hours per day  seven days per week.,non-functional,product shall available hour per day seven day per week,10
PE:The product shall able to handle a large number of games simultaneously.,non-functional,pethe product shall able handle large number game simultaneously,9
PE:The response time shall be fast enough to maintain the flow of the game.  The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,non-functional,pethe response time shall fast enough maintain flow game response time shall second response remaining response,16
PE:The product shall protect the identity of the players. The product shall provide players no access to information that might reveal the identity of another player.,non-functional,pethe product shall protect identity player product shall provide player access information might reveal identity another player,17
US:The product shall be intuitive and self-explanatory.  Nine out ten users shall be able to successfully complete a game with no training.,non-functional,usthe product shall intuitive selfexplanatory nine ten user shall able successfully complete game training,14
US: The product shall be available to players who understand English  Spanish and French.  The product shall allow the user to select the language upon accessing the product.,non-functional,u product shall available player understand english spanish french product shall allow user select language upon accessing product,18
SE:The product shall provide players no access to information that might reveal the identity of another player,non-functional,sethe product shall provide player access information might reveal identity another player,12
PE:The response time shall be fast enough to maintain the flow of the game. The response time shall be no more than 2 seconds for 95% of responses and no more than 4% for the remaining responses.,non-functional,pethe response time shall fast enough maintain flow game response time shall second response remaining response,16
F:The product shall maintain a list of players.,non-functional,fthe product shall maintain list player,6
